combination_id,grid,inventory,profit,range,stop
11121,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
11131,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
11141,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
11112,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
11113,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
11114,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
11115,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
22333,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
22434,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
31445,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
32333,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
42335,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
43445,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
24222,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
33224,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
44243,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
23342,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
44324,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
34432,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
23423,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
32242,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
13235,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
42422,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
34325,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
24144,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 1, 'mode': 'NONE'}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
41234,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
22215,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
33314,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
43132,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 1, 'mode': 'NONE'}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
14413,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
12344,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
32123,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
21321,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
44231,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
43243,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
33441,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
24125,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 1, 'mode': 'NONE'}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
41312,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 1, 'caution': 0.4, 'reduce_only': 0.8}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
13422,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 1, 'multiplier': 1.0, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
32444,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
21233,"{'level': 1, 'min_grid_num': 5, 'max_grid_num': 10, 'step_multiplier': 1.5}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
32341,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 1, 'mode': 'BASELINE', 'atr_buffer': 0.0}"
24225,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
43435,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
34232,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
23443,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
42324,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
44424,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
32233,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
24345,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
43342,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
23233,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
34422,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
22334,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 3, 'caution': 0.35, 'reduce_only': 0.5}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 2, 'multiplier': 1.5, 'adaptive': False}","{'level': 4, 'mode': 'TWO_ATR', 'atr_buffer': 2.0}"
43425,"{'level': 3, 'min_grid_num': 20, 'max_grid_num': 50, 'minimum_step_pct': 0.0008}","{'level': 2, 'caution': 0.35, 'reduce_only': 0.8}","{'level': 4, 'mode': 'INVENTORY_AWARE', 'activation_pct': 0.005, 'suppress_drag': 0.25, 'reduce_drag': 0.4, 'close_drag': 0.6, 'peak_close': 0.4}","{'level': 4, 'multiplier': None, 'adaptive': True}","{'level': 5, 'mode': 'TIME_CONFIRMED', 'atr_buffer': 1.0, 'confirm_bars': 30}"
32243,"{'level': 2, 'min_grid_num': 10, 'max_grid_num': 20, 'step_multiplier': 1.0}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 2, 'mode': 'FIXED', 'activation_pct': 0.01}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 3, 'mode': 'ONE_ATR', 'atr_buffer': 1.0}"
34342,"{'level': 4, 'min_grid_num': 50, 'max_grid_num': 100, 'minimum_step_pct': 0.0005}","{'level': 4, 'caution': 0.25, 'reduce_only': 0.4, 'close_drag': 0.6}","{'level': 3, 'mode': 'PEAK', 'activation_pct': 0.01, 'suppress': 0.2, 'reduce': 0.35, 'close': 0.5, 'locked': 0.25}","{'level': 3, 'multiplier': 2.0, 'adaptive': False}","{'level': 2, 'mode': 'HALF_ATR', 'atr_buffer': 0.5}"
